Artist,Avg Tickets,Gross Sales,Territory,Agency,Location
5:00 AM,,,North America,Madison House,
13,,,North America,Paradigm - Beverly Hills,
67,,,North America,WME,
112,"1,107","$87,099",non-exclusive,Pyramid Entertainment Group,
112,"1,107","$87,099",non-exclusive,Universal Attractions Agency,
112,"1,107","$87,099",non-exclusive,ICM Partners,
112,"1,107","$87,099",non-exclusive,Red Entertainment Agency,
311,"5,240","$190,888",North America,Creative Artists Agency (Music),Los Angeles
311,"5,240","$190,888",Asia,WME,
311,"5,240","$190,888",Worldwide ex. North America,WME,
702,,,Worldwide,Universal Attractions Agency,
1349,,,,HEAVY TALENT,
7715,,,Worldwide,APA,
7715,,,Worldwide,APA,
August 08,,,Worldwide,WME,
!!! (Chk Chk Chk),204,"$3,860","Canada, United States, South America, Mexico",Arrival Artists,
¡Mayday!,"1,561","$216,047",Worldwide,The Empire Agency,
¿TEO?,,,Worldwide,APA,
...And You Will Know Us By The Trail Of Dead,281,"$7,532",North America,33 & West,
...AND YOU WILL KNOW US BY THE TRAIL OF DEAD,,,,Space Agency Booking,
(Sandy) Alex G,580,"$11,473",North America,APA,
*Repeat Repeat,101,"$1,387",Worldwide,WME,
#IMomSoHard,"2,089","$94,788",North America,UTA - Comedy,
$uicideboy$,"3,346","$153,528",North America,Paradigm - NYC,
$uicideboy$,"3,480","$163,326",Worldwide ex. North America,ICM Partners,
070Shake,535,"$8,665",North America,Paradigm - Beverly Hills,
1-800-Dinosaur,,,North America,WME,
1-800-Dinosaur,,,Worldwide,WME,
10 Years,468,"$9,296",North America,United Talent Agency - Beverly Hills,
10 Years,468,"$9,296",North America,UTA,
100 gecs,575,"$8,138",North America,Paradigm - Berkley,
100 gecs,575,"$8,138",North America,Paradigm - Beverly Hills,
1000Mods,82,"$1,498",North America,Tone Deaf Touring,
1000volts,,,North America,United Talent Agency - Beverly Hills,
1000volts,,,North America,UTA,
10cc,981,"$38,139",North America,Entourage Talent Associates,
12 Stones,,,North America,TKO,
12th Planet,999,"$26,230",North America,Paradigm - Beverly Hills,
1788-L,,,North America,Paradigm - Beverly Hills,
1K Phew,,,Worldwide,WME,
1TakeJay,174,"$3,941",North America,Paradigm - NYC,
2 Chainz,"2,835","$209,661","Australia, Asia",WME,
2 Chainz,"2,835","$209,661",North America,WME,
2 Chainz,"2,835","$209,661",Worldwide,WME,
2 Dope Queens,,,Worldwide,UTA - Comedy,
2 Live Crew,,,non-exclusive,Pyramid Entertainment Group,
2 Live Crew,,,non-exclusive,Universal Attractions Agency,
"2 Live Crew Feat. Fresh Kid Ice, Brother Marquis And Uncle Luke",,,Worldwide,Universal Attractions Agency,
21 Savage,"3,046","$136,964","Canada, North America",United Talent Agency - Beverly Hills,
21 Savage,"3,046","$136,964","Canada, North America",UTA,
24hrs,,,Worldwide,Universal Attractions Agency,
24kGoldn,,,Worldwide,WME,
29 Rooms,,,Worldwide,WME,
2Cellos,"4,218","$242,330",North America,Creative Artists Agency (Music),Los Angeles
2FAC3D,,,,Corson Agency,
2KBABY,,,Worldwide,ICM Partners,
2Many DJs,,,"Australia, Asia",WME,
2Many DJs,,,North America,WME,
2Many DJs,,,Worldwide,WME,
3 Doors Down,"2,762","$119,013",Worldwide,United Talent Agency - Beverly Hills,
3 Doors Down,"2,762","$119,013",Worldwide,UTA,
3 Years Hollow,197,"$2,172",United States,Dynamic Talent International,
