Artist,Attendance,Gross,Bands in Town
Garth Brooks,"102,500","$7,099,295.00","8,877"
Spice Girls,"86,958","$9,750,672.00","2,678"
Ed Sheeran,"84,092","$7,403,581.00","45,481"
Eminem,"57,147","$6,243,147.00","76,068"
Beyoncé,"55,617","$6,514,121.00","46,520"
Pearl Jam,"52,075","$4,666,506.00","21,314"
Rammstein,"46,599","$4,921,275.00","6,924"
Phish,"36,441","$2,583,025.00","4,286"
George Strait,"33,870","$5,353,168.00","20,442"
Drake,"33,564","$3,969,774.00","78,872"
Bruno Mars,"33,107","$4,591,266.00","57,728"
Guns N' Roses,"32,127","$3,478,993.00","25,979"
Bon Jovi,"31,438","$3,212,534.00","22,693"
Dimitri Vegas & Like Mike,"30,325","$1,150,885.00","2,135"
Metallica,"30,205","$3,184,260.00","36,210"
Kensington,"28,170","$1,904,895.00",41
Foo Fighters,"26,877","$2,224,287.00","28,141"
Billy Joel,"26,622","$3,340,353.00","16,320"
Dead & Company,"25,926","$3,378,201.00","1,389"
Kenny Chesney,"25,569","$2,264,855.00","30,751"
Muse,"25,252","$2,059,588.00","22,267"
Eric Church,"25,163","$2,260,557.00","20,472"
The Weeknd,"24,497","$1,880,928.00","38,624"
Radiohead,"23,826","$2,031,278.00","20,229"
DJ Snake,"23,734","$1,339,067.00","9,975"
Porter Robinson,"22,500","$2,947,500.00","5,170"
Little Mix,"21,778","$1,333,207.00","6,813"
Eagles,"21,147","$3,843,309.00","17,187"
Elton John,"20,921","$2,846,489.00","17,327"
Bassnectar,"20,568","$1,364,443.00","10,044"
Hugh Jackman,"20,066","$1,738,046.00",529
Depeche Mode,"20,042","$1,719,678.00","12,129"
Arctic Monkeys,"19,957","$1,343,995.00","20,960"
Red Hot Chili Peppers,"19,888","$1,489,276.00","42,375"
Iron Maiden,"19,571","$1,402,863.00","13,881"
Zac Brown Band,"19,570","$1,170,910.00","32,310"
Luke Bryan,"18,983","$1,285,770.00","41,918"
Justin Timberlake,"18,764","$2,409,720.00","43,935"
Four Tet,"18,663","$579,567.00",648
Pretty Lights,"18,250","$1,029,492.00","5,577"
Kendrick Lamar,"17,836","$1,543,348.00","35,811"
Jason Aldean,"17,508","$1,058,877.00","38,222"
Journey,"17,488","$1,760,144.00","23,620"
Shakira,"17,249","$1,614,477.00","32,677"
The Courteeners,"17,035","$912,569.00",95
Super Junior,"16,999","$1,064,383.00",396
Fleetwood Mac,"16,938","$2,337,789.00","18,234"
Ritchie Blackmore's Rainbow,"16,892","$1,478,469.00",14
Pete Tong,"16,805","$1,022,059.00",467
Florida Georgia Line,"16,799","$1,189,192.00","20,548"
Alex Sensation,"16,763","$1,515,908.00",52
Jimmy Buffett,"16,642","$1,800,494.00","13,357"
Ariana Grande,"16,449","$1,859,469.00","42,026"
Dave Matthews Band,"16,413","$1,167,319.00","18,810"
Trans-Siberian Orchestra,"16,102","$1,014,594.00","4,937"
Joey Dee & The Starliters,"15,760","$1,247,633.00",19
The Strokes,"15,619","$1,978,866.00","10,655"
Katy Perry,"15,605","$1,361,587.00","63,722"
Imagine Dragons,"15,585","$929,082.00","39,055"
Lady Gaga,"15,550","$3,038,913.00","53,377"
Aerosmith,"15,327","$3,218,734.00","23,607"
Rosalía,"15,247","$885,986.00",226
Eric Clapton,"15,216","$2,831,749.00","14,828"
Travis Scott,"15,183","$1,132,576.00","15,536"
Shawn Mendes,"15,179","$1,088,231.00","19,973"
Def Leppard,"15,174","$1,483,659.00","14,389"
Post Malone,"15,136","$1,510,634.00","23,973"
LCD Soundsystem,"15,065","$999,680.00","2,668"
Vianney,"14,997","$610,127.00",11
Mumford & Sons,"14,866","$1,048,531.00","29,457"
Ozzy Osbourne,"14,839","$936,393.00","19,148"
Jonas Brothers,"14,805","$1,494,349.00","15,024"
Hootie & The Blowfish,"14,771","$902,464.00","4,971"
Tool,"14,688","$1,461,005.00","13,306"
London Grammar,"14,663","$641,272.00","1,560"
Hardwell,"14,503","$792,556.00","5,877"
Luis Miguel,"14,398","$1,435,794.00",999
Robbie Williams,"14,338","$1,782,638.00","1,273"
Vans Warped Tour,"14,287","$511,062.00",880
Michael Bublé,"14,233","$1,651,153.00","16,853"
Jennifer Lopez,"14,168","$2,208,420.00","18,632"
Sam Smith,"14,077","$1,094,346.00","21,625"
John Mayer,"14,073","$1,470,536.00","29,938"
Chance The Rapper,"13,760","$1,248,302.00","15,859"
Patrick Bruel,"13,631","$716,006.00",20
Ellen DeGeneres,"13,625","$1,307,796.00",137
Chris Stapleton,"13,598","$899,610.00","8,743"
Kaskade,"13,497","$1,095,915.00","7,621"
"Cirque Dreams ""Jungle Fantasy""","13,302","$332,550.00",
Backstreet Boys,"13,285","$1,264,762.00","10,276"
Jeff Lynne's ELO,"13,242","$1,441,097.00",654
Romeo Santos,"13,051","$1,261,103.00","8,256"
Britney Spears,"13,027","$1,624,600.00","26,054"
Enrique Iglesias,"12,997","$1,167,478.00","20,804"
Childish Gambino,"12,927","$1,162,019.00","22,776"
The Killers,"12,877","$859,070.00","26,372"
Kid Rock,"12,795","$909,652.00","16,511"
Harry Styles,"12,794","$1,004,609.00","11,322"
Loretta Lynn,"12,791","$1,510,885.00",818
Shania Twain,"12,721","$1,161,515.00","7,231"
Paul Simon,"12,697","$1,248,583.00","4,544"
Barbra Streisand,"12,686","$4,157,475.00","2,884"
Rae Sremmurd,"12,433","$273,668.00","10,119"
Panic! At The Disco,"12,426","$731,134.00","37,715"
New Kids On The Block,"12,371","$994,252.00","3,826"
Rod Stewart,"12,368","$1,223,149.00","6,427"
System Of A Down,"12,321","$1,024,213.00","25,983"
Thomas Rhett,"12,281","$820,668.00","15,926"
Ricky Martin,"12,275","$1,021,991.00","5,506"
Twenty One Pilots,"12,220","$855,027.00","27,790"
Bob Seger & The Silver Bullet Band,"12,214","$1,366,775.00",23
Martin Lawrence,"12,131","$762,313.00",67
Yusuf / Cat Stevens,"12,102","$1,474,620.00","2,457"
Volbeat,"12,056","$844,076.00","6,308"
Kevin Hart,"11,937","$887,446.00","1,159"
Slipknot,"11,932","$765,237.00","24,834"
Stereophonics,"11,918","$698,719.00",675
Michelle Obama,"11,851","$1,308,054.00",61
Gorillaz,"11,792","$884,610.00","18,136"
Blake Shelton,"11,730","$978,954.00","34,345"
Khalid,"11,431","$714,677.00","14,364"
Florence + The Machine,"11,412","$734,589.00",6
KISS,"11,341","$1,208,924.00","11,917"
Carrie Underwood,"11,338","$864,129.00","37,047"
Liam Gallagher,"11,291","$653,477.00",133
Pablo Alborán,"11,192","$721,084.00",669
Olly Murs,"11,143","$506,762.00","4,373"
Blackpink,"10,923","$1,508,107.00",831
Marc Anthony,"10,901","$1,153,103.00","8,033"
Lynyrd Skynyrd,"10,889","$618,002.00","17,569"
Flight Of The Conchords,"10,699","$736,111.00","2,139"
The Lumineers,"10,689","$593,621.00","17,304"
Train,"10,679","$476,198.00","20,596"
Vetusta Morla,"10,666","$433,063.00",34
Bad Bunny,"10,619","$858,626.00","3,593"
Keith Urban,"10,617","$763,642.00","23,765"
Lil Wayne,"10,430","$564,908.00","58,351"
My Morning Jacket,"10,390","$666,877.00","3,406"
Widespread Panic,"10,325","$718,286.00","2,996"
Paul Kelly,"10,320","$761,486.00",39
Kelly Clarkson,"10,309","$648,773.00","23,467"
Blink-182,"10,259","$564,842.00","30,849"
Mr. Bungle,"10,221","$153,465.00","1,026"
David Guetta,"10,173","$650,996.00","25,988"
Faith Hill,"10,146","$789,394.00","7,277"
Miranda Lambert,"10,135","$612,580.00","27,573"
Tame Impala,"10,019","$522,650.00","8,792"
